ExistingProtection,Occupation,Budget,Gender,WorkingYear,Plan
"N","建築",102650,1,4,"危疾計劃"
"N","建築",145700,0,6,"危疾計劃"
"N","建築",141350,0,6,"危疾計劃"
"N","建築",115100,1,8,"危疾計劃"
"N","建築",139250,0,4,"危疾計劃"
"N","建築",111500,1,8,"危疾計劃"
"N","建築",117500,0,8,"危疾計劃"
"N","建築",115350,0,8,"危疾計劃"
"N","建築",116950,0,4,"危疾計劃"
"N","建築",123950,0,4,"投資計劃"
"N","建築",135150,0,4,"危疾計劃"
"N","建築",104500,0,6,"危疾計劃"
"N","建築",122000,1,4,"危疾計劃"
"N","建築",101600,0,6,"危疾計劃"
"N","建築",134100,0,8,"危疾計劃"
"N","建築",138200,1,4,"危疾計劃"
"N","建築",113650,1,6,"危疾計劃"
"N","建築",113750,0,8,"危疾計劃"
"N","建築",101900,1,8,"危疾計劃"
"N","建築",146150,0,4,"危疾計劃"
"N","建築",122150,0,4,"危疾計劃"
"N","建築",118400,0,6,"危疾計劃"
"N","建築",137300,0,6,"危疾計劃"
"N","建築",125250,1,8,"危疾計劃"
"N","建築",124000,0,6,"危疾計劃"
"N","建築",121200,0,6,"危疾計劃"
"N","建築",147950,1,6,"危疾計劃"
"N","建築",135350,0,8,"危疾計劃"
"N","建築",112100,1,6,"危疾計劃"
"N","建築",133150,0,8,"危疾計劃"
"N","建築",137950,0,4,"危疾計劃"
"N","建築",116600,1,8,"危疾計劃"
"N","建築",122750,1,8,"危疾計劃"
"N","建築",134250,1,8,"危疾計劃"
"N","建築",135800,1,8,"危疾計劃"
"N","建築",106800,1,8,"危疾計劃"
"N","建築",136000,0,6,"危疾計劃"
"N","建築",141600,1,8,"危疾計劃"
"N","建築",134050,0,8,"危疾計劃"
"N","建築",118950,1,6,"危疾計劃"
"N","建築",145950,1,4,"危疾計劃"
"N","建築",131950,0,8,"危疾計劃"
"N","建築",102000,1,6,"危疾計劃"
"N","建築",107200,0,4,"危疾計劃"
"N","建築",128450,1,6,"危疾計劃"
"N","建築",148600,0,6,"危疾計劃"
"N","建築",134200,0,4,"危疾計劃"
"N","建築",146550,0,8,"危疾計劃"
"N","建築",121150,1,4,"危疾計劃"
"N","建築",129700,1,6,"危疾計劃"
"N","建築",109100,0,8,"危疾計劃"
"N","建築",130550,1,6,"危疾計劃"
"N","建築",120050,0,8,"危疾計劃"
"N","建築",134000,1,4,"危疾計劃"
"N","建築",126900,0,4,"危疾計劃"
"N","建築",147000,1,8,"危疾計劃"
"N","建築",125600,1,4,"危疾計劃"
"N","建築",131050,1,6,"危疾計劃"
"N","建築",148500,0,6,"危疾計劃"
"N","建築",133400,0,8,"危疾計劃"
"N","建築",117600,1,4,"危疾計劃"
"N","建築",147000,0,6,"危疾計劃"
"N","建築",128950,0,6,"危疾計劃"
"N","建築",141050,0,8,"危疾計劃"
"N","建築",148150,1,4,"危疾計劃"
"N","建築",132250,0,6,"危疾計劃"
"N","建築",104300,0,8,"危疾計劃"
"N","建築",116450,1,8,"危疾計劃"
"N","建築",100900,0,6,"危疾計劃"
"N","建築",128600,1,4,"危疾計劃"
"N","建築",118300,0,6,"危疾計劃"
"N","建築",118850,0,6,"危疾計劃"
"N","建築",112600,0,6,"危疾計劃"
"N","建築",145200,1,4,"危疾計劃"
"N","建築",127250,1,6,"危疾計劃"
"N","建築",114550,0,6,"危疾計劃"
"N","建築",136750,1,6,"危疾計劃"
"N","建築",110700,0,4,"危疾計劃"
"N","建築",116800,1,8,"危疾計劃"
"N","建築",121950,0,8,"危疾計劃"
"N","建築",107700,1,6,"危疾計劃"
"N","建築",127200,1,8,"危疾計劃"
"N","建築",118100,0,4,"危疾計劃"
"N","建築",104250,0,6,"危疾計劃"
"N","建築",116250,0,6,"危疾計劃"
"N","建築",108050,0,6,"危疾計劃"
"N","建築",141550,1,6,"危疾計劃"
"N","建築",125600,0,4,"危疾計劃"
"N","建築",140300,0,6,"危疾計劃"
"N","建築",119550,1,4,"危疾計劃"
"N","建築",122400,0,6,"危疾計劃"
"N","建築",112600,0,8,"危疾計劃"
"N","建築",145000,0,8,"危疾計劃"
"N","建築",101000,1,4,"危疾計劃"
"N","建築",131500,0,4,"危疾計劃"
"N","建築",113600,1,8,"危疾計劃"
"N","建築",126100,1,4,"危疾計劃"
"N","建築",119450,0,6,"危疾計劃"
"N","建築",103400,1,6,"危疾計劃"
"N","建築",123800,1,4,"危疾計劃"
"N","建築",113350,1,8,"危疾計劃"
"N","建築",141100,0,4,"危疾計劃"
"N","建築",144550,0,6,"危疾計劃"
"N","建築",147700,1,8,"危疾計劃"
"N","建築",119350,0,6,"危疾計劃"
"N","建築",136150,1,6,"危疾計劃"
"N","建築",140900,1,6,"危疾計劃"
"N","建築",127250,0,8,"危疾計劃"
"N","建築",111700,1,8,"危疾計劃"
"N","建築",146450,1,6,"危疾計劃"
"N","建築",148850,1,8,"危疾計劃"
"N","建築",141700,1,8,"危疾計劃"
"N","建築",109050,0,8,"危疾計劃"
"N","建築",140000,1,6,"危疾計劃"
"N","建築",140350,0,6,"危疾計劃"
"N","建築",111000,1,4,"危疾計劃"
"N","建築",137500,0,4,"危疾計劃"
"N","建築",104000,0,8,"危疾計劃"
"N","建築",101400,1,4,"危疾計劃"
"N","建築",128600,1,8,"危疾計劃"
"N","建築",147200,1,6,"危疾計劃"
"N","建築",104700,0,4,"危疾計劃"
"N","建築",140850,0,6,"危疾計劃"
"N","建築",121000,0,6,"危疾計劃"
"N","建築",141000,1,4,"危疾計劃"
"N","建築",100300,1,6,"危疾計劃"
"N","建築",110700,1,8,"危疾計劃"
"N","建築",110600,1,4,"危疾計劃"
"N","建築",121250,1,6,"危疾計劃"
"N","建築",103700,1,4,"危疾計劃"
"N","建築",102150,1,4,"危疾計劃"
"N","建築",104950,1,8,"危疾計劃"
"N","建築",149200,0,6,"危疾計劃"
"N","建築",133150,1,4,"危疾計劃"
"N","建築",100600,1,4,"危疾計劃"
"N","建築",116500,1,6,"危疾計劃"
"N","建築",127550,1,8,"危疾計劃"
"N","建築",115500,1,4,"危疾計劃"
"N","建築",111900,0,4,"危疾計劃"
"N","建築",106350,1,8,"危疾計劃"
"N","建築",114850,0,6,"危疾計劃"
"N","建築",114500,1,4,"危疾計劃"
"N","建築",115200,1,6,"危疾計劃"
"N","建築",110100,1,4,"危疾計劃"
"N","建築",132700,1,8,"危疾計劃"
"N","建築",120750,0,6,"危疾計劃"
"N","建築",103950,1,6,"危疾計劃"
"N","建築",122900,1,8,"危疾計劃"
"N","建築",108150,1,8,"危疾計劃"
"N","建築",103850,1,4,"危疾計劃"
"N","建築",107350,0,8,"危疾計劃"
"N","建築",136850,1,4,"危疾計劃"
"N","建築",102750,1,6,"危疾計劃"
"N","建築",108000,0,4,"危疾計劃"
"N","建築",130300,0,8,"危疾計劃"
"N","建築",118750,0,6,"危疾計劃"
"N","建築",132950,0,8,"危疾計劃"
"N","建築",134250,0,8,"危疾計劃"
"N","建築",140350,0,8,"危疾計劃"
"N","建築",109400,1,6,"危疾計劃"
"N","建築",143400,1,6,"危疾計劃"
"N","建築",133650,1,6,"危疾計劃"
"N","建築",146100,0,6,"危疾計劃"
"N","建築",127300,1,4,"危疾計劃"
"N","建築",148200,0,4,"危疾計劃"
"N","建築",135500,0,4,"危疾計劃"
"N","建築",106500,1,4,"危疾計劃"
"N","建築",142550,1,6,"危疾計劃"
"N","建築",145400,0,4,"危疾計劃"
"N","建築",144450,0,6,"危疾計劃"
"N","建築",120300,0,8,"危疾計劃"
"N","建築",118750,0,6,"危疾計劃"
"N","建築",110650,0,4,"危疾計劃"
"N","建築",130150,1,6,"危疾計劃"
"N","建築",112700,0,4,"危疾計劃"
"N","建築",141200,0,4,"危疾計劃"
"N","建築",118350,0,8,"危疾計劃"
"N","建築",110000,1,4,"危疾計劃"
"N","建築",116200,1,8,"危疾計劃"
"N","建築",118450,0,8,"危疾計劃"
"N","建築",111900,1,8,"危疾計劃"
"N","建築",116650,0,8,"危疾計劃"
"N","建築",115000,0,6,"危疾計劃"
"N","建築",142450,1,4,"危疾計劃"
"N","建築",140450,0,4,"危疾計劃"
